No. ,Titik Koordinat,Nama Unit,"ALAMAT  KANTOR",KELURAHAN,KECAMATAN,KOTA / KABUPATEN,KODE POS,PROVINSI,Area/Cluster,Kode Cabang,Column 1,Column 2,Column 3
23,"-6.4864261,106.8764595",Citeureup 1,Jl. Mayor Oking RT.001 RW.003,Karang Asem Barat,Citeureup,Kab. Bogor,16810,JAWA BARAT,CIBINONG MAYOR OKING,13320,,,
24,"-6.322634, 106.968534",Bogor Grand Nusa Dua 1,Perumahan Grand Nusa Dua Residence Blok D,Desa Bojong Kulur,Gunung Putri,Kab. Bogor,16969,JAWA BARAT,CIBINONG MAYOR OKING,13323,,,
25,"-6.445754, 106.914938",Bogor Gunung Putri 1,"Komplek Purimas Niaga No. 6 – 8, Jl. Mercedes Benz",Tlajung Udik,Gunung Putri,Kab. Bogor,16961,JAWA BARAT,CIBINONG MAYOR OKING,13376,,,
26,"-6.473790, 106.863072",Cibinong Mayor Oking 1,Ruko Mayor Oking No. 8-9 Jl. Mayor Oking No. 134,Cirimekar,Cibinong,Kab. Bogor,16917,JAWA BARAT,CIBINONG MAYOR OKING,13325,,,
27,"-6.4083149,106.9615288",Cileungsi 1,"Ruko Mall Cileungsi Blok C No. 5 & 6, Jl. Raya Narogong, Cileungsi",Cileungsi Kidul,Cileungsi,Kab. Bogor,16820,JAWA BARAT,CIBINONG MAYOR OKING,13321,,,
28,"-6.4519218,106.9579981",Bogor Klapanunggal 1,Grand Kahuripan Blok B No.10 & 11 Jl.Raya Klapanunggal,Klapanunggal,Klapanunggal,Kab. Bogor,16710,JAWA BARAT,CIBINONG MAYOR OKING,13397,,,
29,"-6.404440, 106.976516",Bogor Metland Cileungsi 1,Jl. Raya Boulevard Kota Taman Metropolitan Ebony XXV No.1-2,Desa Cileungsi Kidul,Cileungsi,Kab. Bogor,16820,JAWA BARAT,CIBINONG MAYOR OKING,13395,,,
30,"-6.566432, 106.845661",Bogor Sentul City 1,Jl. MH Thamrin Kav. 8 Sentul City,Cipambuan,Babakan Madang,Kab. Bogor,16810,JAWA BARAT,CIBINONG MAYOR OKING,13319,,,
31,"-6.435688, 107.051270",Bogor Jonggol 1,"Ruko Citra Indah Square Blok RCS-02 No. 2, Jl. Raya Jonggol KM 23,2",Ds Cipeucang,Cileungsi,Kab. Bogor,16820,JAWA BARAT,CIBINONG MAYOR OKING,13381,,,
32,"-6.4855728,106.8396465",Cibinong City Center 1,Jl. Tegar Beriman No.1,Pakansari,Cibinong,Kab. Bogor,16915,JAWA BARAT,CIBINONG MAYOR OKING,13307,,,
33,"-6.416233, 106.858713",Depok Jatijajar 1,Jl. Raya Bogor No. 6 & 7 RT/RW 001/017,Sukamaju,Cilodong,Kota Depok,16415,JAWA BARAT,DEPOK 1,15715,,,
